name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Complexe Scolaire Charme,-2.5183642,28.8350163,at-risk,2.63,Violence against civilians,2024-01-02,7387324588
Complexe Scolaire Busiba,-2.5357122,28.8464153,at-risk,3.99,Violence against civilians,2024-01-02,7387324589
Complexe Scolaire Camp Cinema,-2.5175469,28.8500625,at-risk,1.95,Violence against civilians,2024-01-02,7387324590
Complexe Scolaire Brain,-2.4978915,28.8792302,at-risk,3.26,Violence against civilians,2024-01-02,7387324591
Complexe Scolaire Berceau du Savoir,-1.6414301,29.1986549,at-risk,3.96,Battle,2024-01-01,7387324592
Complexe Scolaire Bon Berger,-2.5445203,28.8641653,at-risk,5.19,Violence against civilians,2024-01-02,7387324593
Complexe Scolaire Baraka,-2.5366031,28.8563785,at-risk,4.13,Violence against civilians,2024-01-02,7387324594
Complexe Scolaire Amani,-2.5340543,28.8567455,at-risk,3.86,Violence against civilians,2024-01-02,7387324595
Complexe Scolaire Ashuza,-2.5209522,28.8484079,at-risk,2.34,Violence against civilians,2024-01-02,7387324596
Complexe Scolaire Aksante,-2.5348335,28.8572302,at-risk,3.96,Violence against civilians,2024-01-02,7387324597
Complexe Scolaire Adora,-2.5449694,28.863744,at-risk,5.23,Violence against civilians,2024-01-02,7387324598
Complexe Scolaire Aigle de Vision,-2.5104341,28.8450055,at-risk,1.29,Violence against civilians,2024-01-02,7387324599
Complexe Scolaire Rubangisa,-2.4905073,28.8459703,at-risk,1.15,Violence against civilians,2024-01-02,7387324600
Complexe Scolaire Safi-Kwetu,-2.5288374,28.8429295,at-risk,3.3,Violence against civilians,2024-01-02,7387324601
Complexe Scolaire Buke Lumière,-1.6611732,29.2143614,at-risk,1.16,Battle,2024-01-01,7387324602
Complexe Scolaire Karhale,-2.4950883,28.846592,at-risk,0.66,Violence against civilians,2024-01-02,7387324603
Complexe Scolaire Rehema,-2.5309998,28.8573566,at-risk,3.54,Violence against civilians,2024-01-02,7387324610
Complexe Scolaire Oda,-2.5197083,28.8464933,at-risk,2.23,Violence against civilians,2024-01-02,7387324611
Complexe Scolaire Omega La Merveille,-2.467368,28.8340489,at-risk,4.04,Violence against civilians,2024-01-02,7387324612
Complexe Scolaire Namur,-2.5203501,28.8499222,at-risk,2.26,Violence against civilians,2024-01-02,7387324613
Complexe Scolaire Noella,-2.4779361,28.8385326,at-risk,2.76,Violence against civilians,2024-01-02,7387324614
Complexe Scolaire Mont Miko,-1.6478551,29.2315251,at-risk,2.78,Battle,2024-01-01,7387324615
